air_waybill_number;date_of_sale;date_of_flight;flight_number;cargo_transportation_route;physical_weight;volume;volume_weight;paid_weight;currency_of_sale;air_fare;air_fare_1;rfs;rfs_1;total_amount;agency_commission;agency_commission_1;fees_total;myc;myc_1;type_of_cargo;transfer_point;product_code;additional_product_code;shc_code;inn;kpp;note;the_counterparty_to_the_inn_from_fwb
555-79766190;02.04.2025;02.04.2025;SU-1705;VVO-SVO;96,00;0,50;83,33;96,00;RUB;160,00;15360,00;0,00;0,00;15688,40;24,00;24,00;328,40;0,00;0,00;OBORUDOVANIE;;520;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766201;02.04.2025;03.04.2025;HZ-5714;VVO-PKC;19,00;0,04;6,67;25,00;RUB;194,00;4850,00;0,00;0,00;4972,50;24,00;24,00;122,50;0,00;0,00;KRANZATVORNTR;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766234;02.04.2025;02.04.2025;SU-1705;VVO-SVO;5,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;BIOMATERIAL;;520;;LHO;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766245;05.04.2025;06.04.2025;SU-1701;VVO-SVO;550,00;4,30;716,67;717,00;RUB;160,00;114720,00;0,00;0,00;116849,30;24,00;24,00;2129,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766256;07.04.2025;08.04.2025;SU-1701;VVO-SVO;582,00;2,78;463,33;582,00;RUB;160,00;93120,00;0,00;0,00;94857,80;24,00;24,00;1737,80;0,00;0,00;ODEJDAGREENL;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766260;05.04.2025;06.04.2025;SU-5805;VVO-SVO;598,00;4,00;666,67;667,00;RUB;160,00;106720,00;0,00;0,00;108704,30;24,00;24,00;1984,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766271;05.04.2025;06.04.2025;SU-1701;VVO-SVO;559,00;4,20;700,00;700,00;RUB;160,00;112000,00;0,00;0,00;114080,00;24,00;24,00;2080,00;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766282;05.04.2025;06.04.2025;SU-1701;VVO-SVO;484,00;4,35;725,00;725,00;RUB;160,00;116000,00;0,00;0,00;118152,50;24,00;24,00;2152,50;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766293;06.04.2025;07.04.2025;SU-1705;VVO-SVO;555,00;4,10;683,33;683,50;RUB;160,00;109360,00;0,00;0,00;111392,15;24,00;24,00;2032,15;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766304;02.04.2025;04.04.2025;HZ-5616;VVO-PKC;112,00;0,30;50,00;112,00;RUB;194,00;21728,00;0,00;0,00;22102,80;24,00;24,00;374,80;0,00;0,00;LENTAMAPKE;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766326;02.04.2025;04.04.2025;HZ-5616;VVO-PKC;27,00;0,11;18,33;27,00;RUB;194,00;5238,00;0,00;0,00;5366,30;24,00;24,00;128,30;0,00;0,00;PRIBORY;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766330;02.04.2025;03.04.2025;HZ-5714;VVO-PKC;25,00;0,10;16,67;25,00;RUB;194,00;4850,00;0,00;0,00;4972,50;24,00;24,00;122,50;0,00;0,00;ZAPCHASTI;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766341;03.04.2025;03.04.2025;HZ-5602;VVO-KHV;635,00;3,20;533,33;635,00;RUB;40,00;25400,00;0,00;0,00;27291,50;24,00;24,00;1891,50;0,00;0,00;MEDIZDELIIA-CV;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766352;03.04.2025;04.04.2025;SU-1701;VVO-SVO;98,00;0,25;41,67;98,00;RUB;160,00;15680,00;0,00;0,00;16014,20;24,00;24,00;334,20;0,00;0,00;OBORUDOWANIE;;520;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766363;04.04.2025;05.04.2025;FV-6252;VVO-SVO;605,00;2,77;461,67;605,00;RUB;160,00;96800,00;0,00;0,00;98604,50;24,00;24,00;1804,50;0,00;0,00;MASKIESTI;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766385;03.04.2025;04.04.2025;SU-5805;VVO-SVO;874,00;6,21;1035,00;1035,00;RUB;160,00;165600,00;0,00;0,00;168651,50;24,00;24,00;3051,50;0,00;0,00;OBORUDGRIF;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766396;03.04.2025;04.04.2025;SU-5803;VVO-SVO;341,00;3,17;528,33;528,50;RUB;160,00;84560,00;0,00;0,00;86142,65;24,00;24,00;1582,65;0,00;0,00;TNPBOX;;520;;EXP;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766400;06.04.2025;07.04.2025;SU-5803;VVO-SVO;494,00;4,23;705,00;705,00;RUB;160,00;112800,00;0,00;0,00;114894,50;24,00;24,00;2094,50;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766411;06.04.2025;07.04.2025;SU-1701;VVO-SVO;578,00;4,00;666,67;667,00;RUB;160,00;106720,00;0,00;0,00;108704,30;24,00;24,00;1984,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766422;07.04.2025;08.04.2025;SU-1701;VVO-SVO;584,00;6,44;1073,33;1073,50;RUB;160,00;171760,00;0,00;0,00;174923,15;24,00;24,00;3163,15;0,00;0,00;TNPBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766433;05.04.2025;06.04.2025;HZ-5684;KHV-PKC;223,00;1,23;205,00;223,00;RUB;233,00;51959,00;0,00;0,00;52655,70;24,00;24,00;696,70;0,00;0,00;BADY;;520;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79766444;05.04.2025;06.04.2025;HZ-5684;KHV-PKC;163,00;1,01;168,33;168,50;RUB;233,00;39260,50;0,00;0,00;39799,15;24,00;24,00;538,65;0,00;0,00;BADY;;520;;EAT;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-79766455;03.04.2025;04.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CV-BIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766466;03.04.2025;04.04.2025;SU-1701;VVO-SVO;2,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CV-BIOLOGICHESK;;520;;LHO;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766470;05.04.2025;06.04.2025;SU-5805;VVO-SVO;471,00;4,30;716,67;717,00;RUB;160,00;114720,00;0,00;0,00;116849,30;24,00;24,00;2129,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766481;04.04.2025;05.04.2025;SU-5803;VVO-SVO;477,00;3,28;546,67;547,00;RUB;160,00;87520,00;0,00;0,00;89156,30;24,00;24,00;1636,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766492;04.04.2025;05.04.2025;FV-6252;VVO-SVO;490,00;3,96;660,00;660,00;RUB;160,00;105600,00;0,00;0,00;107564,00;24,00;24,00;1964,00;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766503;04.04.2025;05.04.2025;SU-1701;VVO-SVO;775,00;7,56;1260,00;1260,00;RUB;160,00;201600,00;0,00;0,00;205304,00;24,00;24,00;3704,00;0,00;0,00;TNPBOX;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
